2025-05-09T20:15:12.233317 | Sprawdź, czy na YouTube będzie padać w Sasinawcu. | intent=weather_query | conf=0.78
2025-05-09T20:15:33.050962 | Will it rain tomorrow in New York? | intent=none | conf=0.08
2025-05-09T20:15:44.535286 | Please do it. | intent=none | conf=0.06
2025-05-09T20:19:09.441628 | Powiedz mi, czy jutro będzie padać w Sosnowcu. | intent=weather_query | conf=0.69
2025-05-09T20:19:21.807046 | To, to zrób teraz, proszę. | intent=none | conf=0.48
2025-05-09T20:19:59.076606 | Wystarczy, nie musieć już się zabić. | intent=none | conf=0.33
2025-05-09T20:29:29.036008 | Czy jutro w Warszawie będzie padać? | intent=weather_query | conf=0.79
2025-05-09T20:29:40.756887 | Please do it then. | intent=none | conf=0.06
2025-05-09T20:30:31.142349 | Can you open Facebook for me, please? | intent=none | conf=0.22
2025-05-09T20:30:50.508912 | Do czego służy ta aplikacja? | intent=none | conf=0.16
2025-05-09T20:31:10.753694 | Attack to the Mammutatus at Fadaton. | intent=none | conf=0.42
2025-05-09T20:31:19.843229 | Attack to the Mamededas of Fadetom. | intent=none | conf=0.34
2025-05-09T20:31:37.577607 | Jakiej aplikacji teraz używam? | intent=none | conf=0.07
2025-05-10T14:09:56.354427 | Co aktualnie odłączam? | intent=none | conf=0.14
2025-05-10T14:10:09.981859 | Co aktualnie odladam w Przylądku? | intent=none | conf=0.14
2025-05-10T14:10:23.358384 | Nie, nie musisz. | intent=none | conf=0.22
2025-05-10T14:11:03.913590 | Co mam aktualnie odfajkowane? | intent=none | conf=0.38
2025-05-10T14:12:11.445393 | Co to jest ta aplikacja? | intent=none | conf=0.39
2025-05-10T14:12:25.140565 | Attack to the Mamede das Otvathatom | intent=none | conf=0.32
2025-05-10T14:12:47.388767 | Chodziło mi o aplikację, którą mam teraz otwartą, co ona robi. | intent=none | conf=0.15
2025-05-10T14:13:29.837100 | Czy dzisiaj w Sosnowcu będzie padać? | intent=weather_query | conf=0.91
2025-05-10T14:13:47.641346 | Tak, poproszę. | intent=none | conf=0.37
2025-05-10T14:14:23.146381 | Czy dzisiaj w Krakowie będzie padać? | intent=weather_query | conf=0.90
2025-05-11T18:08:05.422817 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-11T18:08:30.748644 | Dobrze, a sprawdzisz mi, jaka będzie pogoda na YouTube w Ładzie Sławowie? | intent=weather_query | conf=0.81
2025-05-11T18:09:06.424627 | Odtworzysz mi YouTube? | intent=none | conf=0.32
2025-05-11T18:09:23.235306 | Możesz to zrobić za pomocą komendy open, jak coś. | intent=none | conf=0.38
2025-05-11T18:09:40.044654 | Tak, poproszę. | intent=none | conf=0.37
2025-05-11T18:30:57.606105 | Yestiştahm | intent=none | conf=0.06
2025-05-13T14:18:30.385779 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-13T14:18:46.105891 | Jak się czujesz? | intent=none | conf=0.21
2025-05-13T14:22:17.475470 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-13T14:52:17.031315 | Poprzedź mnie się od siebie. | intent=none | conf=0.13
2025-05-13T14:52:38.761005 | Ostatnio zastanawiałem się, czy jest jakiś sposób, żeby mógł szybciej coś zrobić i to... | intent=none | conf=0.20
2025-05-13T14:52:45.185852 | Zastanawianie się, jak Boże. | intent=none | conf=0.23
2025-05-13T14:54:33.134504 | Powiedz mi też, osłabia. | intent=none | conf=0.16
2025-05-13T15:10:48.559833 | Powiedz mi z Assabii. | intent=none | conf=0.19
2025-05-13T15:11:13.155833 | Jak się dzisiaj czujesz? | intent=none | conf=0.15
2025-05-13T15:11:29.907401 | Czy możesz sprawdzić mi, proszę, czy będzie padać? | intent=none | conf=0.47
2025-05-13T15:11:45.403976 | W Sosnowcu | intent=none | conf=0.06
2025-05-13T15:17:12.368610 | Powiedz mi coś o sobie, jak się czujesz. | intent=about_assistant | conf=0.73
2025-05-13T15:17:42.106947 | Powiedz mi, jaka będzie jutro pogoda w Sosnowcu? | intent=weather_query | conf=0.95
2025-05-13T15:17:57.424822 | Czy możesz mi proszę otworzyć Facebooka? | intent=none | conf=0.44
2025-05-13T15:26:16.700095 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-13T15:26:32.269171 | Bada to dobrze. | intent=none | conf=0.07
2025-05-13T15:26:49.561142 | Powiedz mi, proszę, jaka jest pogoda w Sosnowcu. | intent=weather_query | conf=0.88
2025-05-13T15:31:46.063896 | Możesz mi proszę zadać pytanie? | intent=none | conf=0.28
2025-05-13T15:32:00.496196 | Ostatnio mnie cieszyło, bo ja zjadłem sobie lody. | intent=none | conf=0.17
2025-05-13T15:32:27.955605 | Sprawdź, jaka jest pogoda. Wyszukaj to nie teraz. | intent=weather_query | conf=0.68
2025-05-13T15:32:44.520709 | Wyzwadź szawię, poproszę. | intent=none | conf=0.06
2025-05-13T15:33:07.124690 | Chodziło mi o to, żeby sprawdził pogodę w Warszawie. | intent=none | conf=0.09
2025-05-13T15:42:30.721617 | Jak się czujesz? | intent=none | conf=0.21
2025-05-13T15:42:49.429700 | Powiem ci, chcę dokończyć już te testy ciebie i zobaczyć, co kolejnego zainplementować. | intent=none | conf=0.18
2025-05-13T15:47:33.327853 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-13T15:47:50.222763 | Nie musisz nic odpowiadać. | intent=none | conf=0.11
2025-05-13T15:55:15.283124 | Jaka jest pogoda w Warszawie? | intent=weather_query | conf=0.91
2025-05-13T15:56:17.598915 | Otworzysz mi jeszcze o tym? | intent=none | conf=0.17
2025-05-13T15:56:37.046619 | A stronę YouTube | intent=none | conf=0.10
2025-05-13T15:57:02.237428 | Czy możesz zrozumieć, że możesz zrozumieć wszystko, i zazwyczaj się w angielskim? | intent=deep_reasoning | conf=0.68
2025-05-13T16:02:05.634317 | Otwórz mi, patrzcie i odjub. | intent=none | conf=0.10
2025-05-13T16:02:22.317750 | Otwórz mi proszę stronę YouTube. | intent=none | conf=0.15
2025-05-13T16:02:53.403641 | Czy możesz zrozumieć mnie, że to wszystko, co mówiłem, i to jest w angielskim? | intent=none | conf=0.26
2025-05-13T16:07:20.379013 | Can you please confirm to me that I am speaking to you in English right now? | intent=none | conf=0.12
2025-05-16T22:13:20.492127 | Powiedz mi, czy się sobie? | intent=none | conf=0.16
2025-05-20T16:35:20.857339 | Jaka jest podlada w sosnowcu? | intent=weather_query | conf=0.77
2025-05-20T16:35:44.418873 | Dobra, a powiedz mi coś o sobie. | intent=none | conf=0.50
2025-05-20T16:36:02.498668 | Nie wywołuj już kolejne raskomendy, nie musisz nic zrobić. | intent=none | conf=0.13
2025-05-20T16:36:53.283317 | Jaka jest podroda? | intent=weather_query | conf=0.77
2025-05-20T16:37:16.677179 | Vilken är pågående? | intent=none | conf=0.06
2025-05-20T17:07:01.171779 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-20T17:07:20.965060 | A aktualnie testuję czy dobrze działasz. | intent=none | conf=0.11
2025-05-24T21:52:08.696471 | Powiedz mi coś o sałbie. | intent=none | conf=0.39
2025-05-24T21:52:32.130932 | Dobra, a powiedz mi coś o sobie. | intent=none | conf=0.50
2025-05-25T22:26:34.052429 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-25T22:26:51.069539 | Czy możesz mi powiedzieć jakie były wyniki dzisiejszego gra w Primonako? | intent=none | conf=0.24
2025-05-25T22:26:54.289232 | Thank you. | intent=none | conf=0.50
2025-05-25T22:27:17.278208 | Wyszótej w Internecie wyniki dzisiejszego w grau Primonako. | intent=none | conf=0.10
2025-05-25T22:27:42.284041 | Où j'ai commenté le web? | intent=none | conf=0.05
2025-05-25T22:27:56.574409 | I jaka jest podlada w nowym Joryku? | intent=weather_query | conf=0.53
2025-05-25T22:28:11.692967 | Proszę sprawdź. | intent=none | conf=0.16
2025-05-25T23:02:00.791177 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-25T23:02:20.494581 | Potwierdź mi, że działasz dobrze. | intent=none | conf=0.17
2025-05-25T23:21:19.294681 | Jak się czujesz? | intent=none | conf=0.21
2025-05-25T23:21:33.466677 | A bada co dobrze, dzięki że pytasz. | intent=none | conf=0.27
2025-05-26T15:14:12.255531 | Powiedz mi coś o sobie. | intent=about_assistant | conf=0.59
2025-05-26T15:14:29.807194 | Dzięki bardzo za to, że jesteś i że działasz teraz. | intent=none | conf=0.17
2025-05-26T15:22:58.929846 | J'incrue, yes. | intent=none | conf=0.06
